name,comment
 【当当自营】华为 Nova5 Pro 全网通8GB+128GB 亮黑色 移动联通电信4G手机 双卡双待,30
 【当当自营】华为 荣耀20 Pro 全网通8GB+128GB 蓝水翡翠 移动联通电信4G手机 双卡双待,30
 【当当自营】华为 Nova5 Pro 全网通8GB+256GB 绮境森林 移动联通电信4G手机 双卡双待,30
 【当当自营】华为 Nova5i 全网通6GB+128GB 幻夜黑 移动联通电信4G手机 双卡双待,30
 【当当自营】华为 Nova5i 全网通8GB+128GB 苏音蓝 移动联通电信4G手机 双卡双待,30
 【当当自营】华为 荣耀20 Pro 全网通8GB+128GB 幻夜星河 移动联通电信4G手机 双卡双待,30
 【当当自营】华为 Nova5i 全网通8GB+128GB 幻夜黑 移动联通电信4G手机 双卡双待,30
 【当当自营】华为 Nova5 Pro 全网通8GB+128GB 仲夏紫 移动联通电信4G手机 双卡双待,30
 【当当自营】华为 Nova5 Pro 全网通8GB+256GB 仲夏紫 移动联通电信4G手机 双卡双待,30
 Philips/飞利浦 E330直板老人手机大字大屏老年手机长待机,29
 华为 HUAWEI P30 Pro 超大广角 超感光徕卡四摄10倍混合变焦 8GB+256GB 天空之境 全网通版双4,27
 【vivo官方旗舰店】vivo U1 6.2英寸水滴全面屏大电池拍面部指纹双识别全网通4G智能手机,27
 【当当自营】小米（MI）手环4 黑色标准版 全新AMOLED彩色屏 心率运动手环,26
 【当当自营】华为 HUAWEI Mate 20 X 麒麟980芯片全面屏超微距影像超大广角徕卡三摄 全网通版双4G游戏,25
 纽曼F9 时尚翻盖男女款商务手机 大字大声超长待机老人机备用机,25
 HUAWEI 华为 Mate20 Pro 全网通 移动联通电信 4G手机 商务手机 6GB+128GB 极光色,22
 Apple iPhone XS Max 256G 金色 支持移动联通电信4G手机,20
 【当当自营】小米6X 全网通6GB+64GB 流沙金 移动联通电信4G手机 双卡双待,20
 【当当自营】小米8 6GB+128GB 金色 全网通版 全面屏游戏智能4G手机 双卡双待,20
 小米（MI） 红米4 全网通4G智能手机 双卡双待 （2G+16G）标配版,19
 Apple iPhone XS 移动联通电信4G手机 官方授权 品质保障,18
 纽曼L66 移动联通直板老人手机大字大声大按键老人机老年手机 大字大声大按键,16
 【当当自营】华为 HUAWEI 畅享 9e 实力大音量高像素珍珠屏3GB+64GB全网通版双4G手机,16
 礼品卡 天语T2 老人手机 2.4英寸移动联通双卡直板功能大声音大按键 QQ微信带振动 老人机,15
 Apple iPhone 8 Plus (A1864) 64GB 金色 MQ8F2CH/A移动联通电信4G手机,15
 【当当自营】HUAWEI nova 4 极点全面屏手机 2000万超广角三摄 全网通双卡双待,15
 华为 P20 全网通6GB+64GB 极光闪蝶色 移动联通电信4G手机 双卡双待,14
 纽曼 F6翻盖手机男女款老人商务持久待机老年机移动手写双卡大声 移动翻盖老人手机大字大声老年手机,14
 Philips/飞利浦 E152Y老年手机大屏大字大声老人手机长待机 整点报时 亲情号 语音播报,13
 Apple iPhone 8 Plus (A1864) 64G 深空灰 MQ8D2CH/A 移动联通电信4G手机,12
 纽曼 V1老年手机移动联通直板按键大字大声中老年人机老人机手机 经典老款升级版大字大声,12
 Xiaomi/小米 红米6A智能AI人脸解锁全面屏老人学生拍照手机 全网通 双卡双待双4G 铂银灰 2GB+16GB,12
 华为 HUAWEI P30 麒麟980全面屏屏内指纹徕卡三摄 8GB+256GB 天空之境 全网通双4G手机,12
 【vivo官方旗舰店】vivo Y93S全面屏大屏拍照全网通4G智能手机,12
 Philips/飞利浦 E160 按键直板移动老人手机大字大声学生 长待机大屏功能按键老年手机,11
 华为（HUAWEI） 华为Mate20 Pro 手机 6+128G 樱粉金,11
 Philips/飞利浦E186A老人机大屏大字大声直板双卡双待按键功能女款移动学生党老年手机,11
 Philips/飞利浦E105 移动直板老年 老人手机学生党用 持久待机,10
 Philips/飞利浦E170 老年2.4英寸迷你手机双卡双待 持久待机 智能伴侣 时尚外观 按键老年手机大字大声女性,10
 Xiaomi/小米 红米6A智能AI人脸解锁全面屏老人学生拍照手机 全网通 双卡双待双4G 2GB+16GB樱花粉,10
 Philips/飞利浦 E151Y天翼CDMA电信版老人手机大字大声老年机 老人手机 天翼CDMA电信版老人大字大声大,10
 Apple iPhone 8 (A1863) 64GB 金色 移动联通电信4G手机 MQ6M2CH/A,10
 Philips/飞利浦E316 大屏 直板按键商务老人老年手机 持久待机 直板移动联通商务 双卡双待,10
 小米（MI） 小米8 6G+64G 金色 全网通 游戏手机,9
 华为（HUAWEI） 华为Mate20 Pro 手机 璨星蓝 全网通8GB+128GB(UD版 屏幕指纹),9
 小米 红米Redmi Note7 AI双摄 3GB+32GB 亮黑色 全网通4G 双卡双待 水滴全面屏拍照游戏智能手机,9
 Xiaomi/小米 Redmi 红米Note 7 （3+32GB）（4+64GB）（6+64GB）（4+128GB）骁,9
 Xiaomi/小米 红米6A智能AI人脸解锁全面屏老人学生拍照手机 全网通 双卡双待双4G,8
 HUAWEI 华为P30 Pro （ 8+128GB）（8+256GB）（8+512GB）感光徕卡四摄10倍混合变焦麒,8
 小米Redmi 红米 7 4GB+64GB 梦幻蓝 移动联通电信全网通4G手机,8
 小米8 青春版 6GB+64GB 深空灰 移动联通电信4G全网通手机 AI双摄 全面屏,8
 Philips/飞利浦 E180老人手机直板移动联通老年超长待机双卡双待,7
 纽曼 C9 三防手机移动联通电信版老人机持久待机大屏大字大声老年手机,7
 华为 P20 Pro 6GB+128GB 全网通 极光色 移动联通电信4G手机 双卡双待,7
 Apple iPhone 8 (A1863) 64GB 银色 移动联通电信4G手机 MQ6L2CH/A,7
 【当当自营】music 无线蓝牙小音箱 颜色随机,7
 中兴守护宝 S158 移动4G版手机 直板老人机,7
 华为 HUAWEI P30 麒麟980全面屏屏内指纹徕卡三摄 8GB+128GB 天空之境 全网通双4G手机,7
 纽曼 L6+ 移动联通电信版老人机 持久待机大屏大字大声直板按键老年手机 SOS功能，大字大声，浮雕大按键,6
 Philips/飞利浦 E133X 电信 直板老人机长待机学生直板按键老年手机电信版老人机,6
 【当当自营】小米 红米Note7 4800万拍照品质小金刚 满血骁龙660处理器 电信联通移动4G手机,6
 【当当自营】小米Redmi AirDots真无线蓝牙耳机运动跑步隐形无线迷你运动开车入耳塞,6
 【当当自营】烁果耳麦 电脑耳机头戴式耳麦电竞网吧游戏绝地求生吃鸡,6
 【当当自营】华为 HUAWEI 麦芒 8 超广角AI三摄 高清珍珠屏 大存储 全网通双4G手机,6
 【当当自营】小米 红米Note7 Pro 索尼4800万超清拍照 骁龙675处理器 电信联通移动4G手机,6
 Huawei/华为Mate20 Pro （6+128GB）（8+128GB）（8+256GB）曲面屏徕卡三摄麒麟980,6
 华为 HUAWEI P30 Pro 超大广角 超感光徕卡四摄10倍混合变焦 8GB+128GB 珠光贝母 全网通版双4,6
 Apple iPhone XR (A2108) 移动联通电信4G手机 双卡双待,6
 Philips/飞利浦 E108按键移动直板老年人小学生备用双卡双待手机新款时尚上班用无摄像头,5
 Philips/飞利浦E135X 翻盖老年手机 持久待机大屏大字男女款老人机 双屏翻盖 大字大声,5
 纽曼F9 翻盖老年手机大屏大字大声移动老人手机 2.8英寸双大屏 持久待机男女款,5
 华为 HUAWEI P30 麒麟980全面屏屏内指纹徕卡三摄 8GB+256GB 亮黑色 全网通双4G手机,5
 纽曼 C360 移动联通 老年机直板老人机大字大屏按键老人手机手机 直板大字大声大屏老人电信天翼手机老年手机,5
 飞利浦 E107 直板移动老人机大字大声长待机老年手机男女款移动 双卡双待按键学生备用功能机,5
 Huawei/华为 麦芒7 （6+64GB）全网通 前置智慧双摄 移动联通电信4G手机 双卡双待,5
 纽曼 F518 移动电信2G翻盖老人手机 老人机双屏大声音老年机老人手机 双屏翻盖 整点报时,5
 【当当自营】小米 红米7A 电信移动联通4G手机,5
 荣耀20i 3200万AI自拍 超广角三摄,5
 华为 HUAWEI P30 Pro 超大广角 超感光徕卡四摄10倍混合变焦 8GB+128GB 天空之境 全网通版双4,5
 Nokia/诺基亚 225 双卡双待 手机,5
 Philips/飞利浦 E180 长待机老人学生直板手机移动联通待机双卡双待 功能直板按键备用功能学生长待手机,4
 华为 nova3 6GB+128GB 移动联通电信4G手机,4
 荣耀V20 麒麟980 魅眼全视屏 4800万AI超清摄影 全网通,4
 礼品卡 Samsung/三星 Galaxy C9 Pro SM-C9000全网通双卡 6英寸 6+64G 1600万像,4
 Philips/飞利浦 E163K移动老人机直板大屏大字大声中老年手机持久长待机男女款学生迷你按键功能小手机,4
 纽曼L99 移动电信老人手机大字大声大屏直板老年手机持久待机 男女按键学生功能机双卡双待,4
 小米 红米Redmi Note7 幻彩渐变AI双摄 6GB+64GB 暮光金 全网通4G 双卡双待 水滴全面屏拍照游戏,4
 华为 HUAWEI P30 麒麟980全面屏屏内指纹徕卡三摄 8GB+64GB 极光色 全网通双4G手机,4
 支持礼品卡 Xiaomi/小米8 移动联通电信4G全网通手机,4
 Philips/飞利浦 E168 直板大屏老年机大字大声老年机老人手机,3
 纽曼 A520迷你手机 移动电信版小袖珍直板儿童学生男女可爱卡通非智能备用个性卡片按键手机,3
 Philips/飞利浦 E256S 翻盖老人机大字大声大屏持久待机老年手机男女款移动 双卡双待按键学生备用小手机,3
 礼品卡 华为（HUAWEI） 荣耀9手机 全网通4G (4G+64G) 标配,3
 华为HONOR/荣耀畅玩8C （4+32GB）（6+64GB）（4+128GB）全面屏手机4G全网通手机智能手机 学生,3
 Philips/飞利浦E106 直板按键老人机备用老年手机无摄像头小 老人手机学生移动按键老年手机 持久待机,3
 华为畅享9 4GB+128GB 极光紫 移动联通电信4G全网通手机,3
 Philips/飞利浦 E170 直板按键老年手机大字大声女性小学生手机,3
 纽曼 M560直板老人手机大字大声电信老年机 持久长待机移动老人机 清晰音质 一键拨号 大字大声老人机,3
 Philips/飞利浦 E279 移动手机老人机老年手机学生备用机持久长待机大声大字老人手机,3
 华为 HUAWEI P30 Pro 超大广角 超感光徕卡四摄10倍混合变焦 8GB+128GB 极光色 全网通版双4G,3
 【当当自营】小米 红米6A 智能AI 人脸解锁 全面屏 电信移动联通4G手机,3
 荣耀10青春版 幻彩渐变 2400万AI自拍 6.21英寸高屏占比珍珠屏 全网通,3
 Philips/飞利浦E132X 直板老人机大字大声大屏 持久待机老年手机,2
 三星 N7102 NOTE2智能手机5.5“双卡双待GSM/WCDMA,2
 Philips/飞利浦 E258S 老人手机长待移动大声老年手机直板老年老人手机大屏大字男女款学生小备用机,2
 【当当自营】小米9 全息幻彩玻璃机身 骁龙855旗舰处理器 移动联通电信4G手机,2
 Xiaomi/小米 红米6A智能AI人脸解锁全面屏老人学生拍照手机 全网通 双卡双待双4G,2
 礼品卡 华为（HUAWEI） 荣耀9手机 全网通4G (6G+128G) 尊享,2
